"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" "," ","Female",30890
" ","62 Years","Male",28070
" "," ","Female",29980
" ","63 Years","Male",27250
" "," ","Female",28980
" ","64 Years","Male",26450
" "," ","Female",28140
" ","65 Years","Male",25610
" "," ","Female",27400
" ","66 Years","Male",24760
" "," ","Female",26270
" ","67 Years","Male",23900
" "," ","Female",25440
" ","68 Years","Male",23390
" "," ","Female",24510
" ","69 Years","Male",22680
" "," ","Female",23700
" ","70 Years","Male",22180
" "," ","Female",23340
" ","71 Years","Male",21730
" "," ","Female",22610
" ","72 Years","Male",21230
" "," ","Female",22600
" ","73 Years","Male",20530
" "," ","Female",21910
" ","74 Years","Male",17540
" "," ","Female",18840
" ","75 Years","Male",15820
" "," ","Female",17280
" ","76 Years","Male",14590
" "," ","Female",15800
" ","77 Years","Male",12940
" "," ","Female",14390
" ","78 Years","Male",13310
" "," ","Female",15150
" ","79 Years","Male",12550
" "," ","Female",14490
" ","80 Years","Male",11120
" "," ","Female",13050
" ","81 Years","Male",9660
" "," ","Female",11720
" ","82 Years","Male",8600
" "," ","Female",10620
" ","83 Years","Male",7540
" "," ","Female",9560
" ","84 Years","Male",6650
" "," ","Female",8550
" ","85 Years","Male",5950
" "," ","Female",7730
" ","86 Years","Male",5260
" "," ","Female",7150
" ","87 Years","Male",4430
" "," ","Female",6470
" ","88 Years","Male",3930
" "," ","Female",5740
" ","89 Years","Male",3470
" "," ","Female",5270
" ","90 Years","Male",2850
" "," ","Female",4640
" ","91 Years","Male",2250
" "," ","Female",3860
" ","92 Years","Male",1710
" "," ","Female",3130
" ","93 Years","Male",1350
" "," ","Female",2580
" ","94 Years","Male",950
" "," ","Female",2080
" ","0-4 Years","Male",157010
" "," ","Female",148930
" ","5-9 Years","Male",168540
" "," ","Female",159880
" ","10-14 Years","Male",170610
" "," ","Female",161210
" ","15-19 Years","Male",162910
" "," ","Female",154480
" ","20-24 Years","Male",175600
" "," ","Female",163370
" ","25-29 Years","Male",195320
" "," ","Female",187000
" ","30-34 Years","Male",186170
" "," ","Female",187220
" ","35-39 Years","Male",165890
" "," ","Female",168560
" ","40-44 Years","Male",152440
" "," ","Female",155670
" ","45-49 Years","Male",161880
" "," ","Female",168990
" ","50-54 Years","Male",159360
" "," ","Female",166760
" ","55-59 Years","Male",157850
" "," ","Female",167830
" ","60-64 Years","Male",140760
" "," ","Female",149700
" ","65-69 Years","Male",120330
" "," ","Female",127320
" ","70-74 Years","Male",103200
" "," ","Female",109300
" ","75-79 Years","Male",69210
" "," ","Female",77110
" ","80-84 Years","Male",43560
" "," ","Female",53500
" ","85-89 Years","Male",23050
" "," ","Female",32360
" ","Under 15 Years","Male",496200
" "," ","Female",470000
" ","Under 16 Years","Male",528100
" "," ","Female",500500
" ","Under 18 Years","Male",592700
" "," ","Female",561500
" ","Under 20 Years","Male",659100
" "," ","Female",624500
" ","15-39 Years","Male",885900
" "," ","Female",860600
" ","15-49 Years","Male",1200200
" "," ","Female",1185300
" ","15-59 Years","Male",1517400
" "," ","Female",1519900
" ","40-64 Years","Male",772300
" "," ","Female",808900
" ","15-64 Years","Male",1658200
" "," ","Female",1669600
" ","15 Years and Over","Male",2028800
" "," ","Female",2091000
" ","16 Years and Over","Male",1996800
" "," ","Female",2060500
" ","18 Years and Over","Male",1932300
" "," ","Female",1999500
" ","20 Years and Over","Male",1865900
" "," ","Female",1936500
" ","90-94 Years","Male",9110
" "," ","Female",16280
" ","60 Years and Over","Male",511400
" "," ","Female",571100
" ","65 Years and Over","Male",370600
" "," ","Female",421400
" ","75 Years and Over","Male",147100
" "," ","Female",184800
" ","80 Years and Over","Male",77900
" "," ","Female",107700
" ","85 Years and Over","Male",34300
" "," ","Female",54200
" ","90 Years and Over","Male",11260
" "," ","Female",21810
" ","95 Years and Over","Male",2150
" "," ","Female",5530
" ","Median Age (Years)","Male",36.4
" "," ","Female",38.5
" ","Total All Ages","Male",2524900
" "," ","Female",2561000
2021,"0 Years","Male",31130
" "," ","Female",29570
" ","1 Years","Male",30500
" "," ","Female",29180
" ","2 Years","Male",31080
" "," ","Female",29380
" ","3 Years","Male",31420
" "," ","Female",29810
" ","4 Years","Male",32200
" "," ","Female",30580
" ","5 Years","Male",32650
" "," ","Female",30810
" ","6 Years","Male",33030
" "," ","Female",31120
" ","7 Years","Male",33160
" "," ","Female",31200
" ","8 Years","Male",33890
" "," ","Female",32510
" ","9 Years","Male",34320
" "," ","Female",32710
" ","10 Years","Male",34730
" "," ","Female",32970
" ","11 Years","Male",35090
" "," ","Female",33190
" ","12 Years","Male",35010
" "," ","Female",32640
" ","13 Years","Male",34750
" "," ","Female",32990
" ","14 Years","Male",33870
" "," ","Female",32010
" ","15 Years","Male",32400
" "," ","Female",30860
" ","16 Years","Male",32050
" "," ","Female",30520
" ","17 Years","Male",32200
" "," ","Female",30610
" ","18 Years","Male",32140
" "," ","Female",30230
" ","19 Years","Male",32210
" "," ","Female",30740
" ","20 Years","Male",33610
" "," ","Female",31790
" ","21 Years","Male",34180
" "," ","Female",32020
" ","22 Years","Male",33590
" "," ","Female",31410
" ","23 Years","Male",34530
" "," ","Female",32170
" ","24 Years","Male",35100
" "," ","Female",32860
" ","25 Years","Male",36360
" "," ","Female",33650
" ","26 Years","Male",36920
" "," ","Female",34700
" ","27 Years","Male",37390
" "," ","Female",35690
" ","28 Years","Male",38850
" "," ","Female",37480
" ","29 Years","Male",39980
" "," ","Female",38770
" ","30 Years","Male",40070
" "," ","Female",39850
" ","31 Years","Male",39500
" "," ","Female",39440
" ","32 Years","Male",38020
" "," ","Female",38410
" ","33 Years","Male",37390
" "," ","Female",38170
" ","34 Years","Male",36170
" "," ","Female",36200
" ","35 Years","Male",34740
" "," ","Female",35390
" ","36 Years","Male",34030
" "," ","Female",35000
" ","37 Years","Male",33650
" "," ","Female",34360
" ","38 Years","Male",33430
" "," ","Female",33980
" ","39 Years","Male",32770
" "," ","Female",33240
" ","40 Years","Male",32150
" "," ","Female",32460
" ","41 Years","Male",31640
" "," ","Female",32080
" ","42 Years","Male",30800
" "," ","Female",31510
" ","43 Years","Male",29950
" "," ","Female",30900
" ","44 Years","Male",30160
" "," ","Female",30790
" ","45 Years","Male",30160
" "," ","Female",30660
" ","46 Years","Male",30720
" "," ","Female",31920
" ","47 Years","Male",31500
" "," ","Female",32980
" ","48 Years","Male",32650
" "," ","Female",33950
" ","49 Years","Male",33590
" "," ","Female",34950
" ","50 Years","Male",33430
" "," ","Female",35190
" ","51 Years","Male",32740
" "," ","Female",34160
" ","52 Years","Male",32550
" "," ","Female",34100
" ","53 Years","Male",31700
" "," ","Female",33290
" ","54 Years","Male",31020
" "," ","Female",32530
" ","55 Years","Male",30910
" "," ","Female",32190
" ","56 Years","Male",31100
" "," ","Female",32720
" ","57 Years","Male",31750
" "," ","Female",33480
" ","58 Years","Male",32040
" "," ","Female",34220
" ","59 Years","Male",31580
" "," ","Female",33620
" ","60 Years","Male",30610
" "," ","Female",32820
" ","61 Years","Male",29680
" "," ","Female",31440
" ","62 Years","Male",28840
" "," ","Female",30650
" ","63 Years","Male",27840
" "," ","Female",29720
" ","64 Years","Male",27000
" "," ","Female",28760
" ","65 Years","Male",26200
" "," ","Female",27900
" ","66 Years","Male",25290
" "," ","Female",27120
" ","67 Years","Male",24430
" "," ","Female",25930
" ","68 Years","Male",23570
" "," ","Female",25130
" ","69 Years","Male",23010
" "," ","Female",24200
" ","70 Years","Male",22300
" "," ","Female",23400
" ","71 Years","Male",21780
" "," ","Female",23010
" ","72 Years","Male",21290
" "," ","Female",22260
" ","73 Years","Male",20780
" "," ","Female",22240
" ","74 Years","Male",20050
" "," ","Female",21540
" ","75 Years","Male",17070
" "," ","Female",18500
" ","76 Years","Male",15390
" "," ","Female",16920
" ","77 Years","Male",14130
" "," ","Female",15450
" ","78 Years","Male",12450
" "," ","Female",14020
" ","79 Years","Male",12790
" "," ","Female",14750
" ","80 Years","Male",11990
" "," ","Female",14050
" ","81 Years","Male",10570
" "," ","Female",12600
" ","82 Years","Male",9130
" "," ","Female",11220
" ","83 Years","Male",8050
" "," ","Female",10120
" ","84 Years","Male",6990
" "," ","Female",9050
" ","85 Years","Male",6080
" "," ","Female",8040
" ","86 Years","Male",5420
" "," ","Female",7210
" ","87 Years","Male",4740
" "," ","Female",6590
" ","88 Years","Male",3910
" "," ","Female",5880
" ","89 Years","Male",3410
" "," ","Female",5150
" ","90 Years","Male",2980
" "," ","Female",4630
" ","91 Years","Male",2410
" "," ","Female",4020
" ","92 Years","Male",1840
" "," ","Female",3290
" ","93 Years","Male",1380
" "," ","Female",2600
" ","94 Years","Male",1050
" "," ","Female",2110
" ","0-4 Years","Male",156320
" "," ","Female",148510
" ","5-9 Years","Male",167060
" "," ","Female",158350
" ","10-14 Years","Male",173450
" "," ","Female",163790
" ","15-19 Years","Male",160990
" "," ","Female",152950
" ","20-24 Years","Male",171000
" "," ","Female",160250
" ","25-29 Years","Male",189500
" "," ","Female",180290
" ","30-34 Years","Male",191150
" "," ","Female",192080
" ","35-39 Years","Male",168610
" "," ","Female",171960
" ","40-44 Years","Male",154710
" "," ","Female",157750
" ","45-49 Years","Male",158620
" "," ","Female",164450
" ","50-54 Years","Male",161430
" "," ","Female",169280
" ","55-59 Years","Male",157380
" "," ","Female",166240
" ","60-64 Years","Male",143970
" "," ","Female",153380
" ","65-69 Years","Male",122500
" "," ","Female",130290
" ","70-74 Years","Male",106210
" "," ","Female",112460
" ","75-79 Years","Male",71830
" "," ","Female",79640
" ","80-84 Years","Male",46730
" "," ","Female",57050
" ","85-89 Years","Male",23560
" "," ","Female",32870
" ","Under 15 Years","Male",496800
" "," ","Female",470700
" ","Under 16 Years","Male",529200
" "," ","Female",501500
" ","Under 18 Years","Male",593500
" "," ","Female",562600
" ","Under 20 Years","Male",657800
" "," ","Female",623600
" ","15-39 Years","Male",881300
" "," ","Female",857500
" ","15-49 Years","Male",1194600
" "," ","Female",1179700
" ","15-59 Years","Male",1513400
" "," ","Female",1515200
" ","40-64 Years","Male",776100
" "," ","Female",811100
" ","15-64 Years","Male",1657400
" "," ","Female",1668600
" ","15 Years and Over","Male",2040200
" "," ","Female",2103400
" ","16 Years and Over","Male",2007800
" "," ","Female",2072600
" ","18 Years and Over","Male",1943500
" "," ","Female",2011400
" ","20 Years and Over","Male",1879200
" "," ","Female",1950500
" ","90-94 Years","Male",9660
" "," ","Female",16660
" ","60 Years and Over","Male",526800
" "," ","Female",588200
" ","65 Years and Over","Male",382800
" "," ","Female",434800
" ","75 Years and Over","Male",154100
" "," ","Female",192000
" ","80 Years and Over","Male",82300
" "," ","Female",112400
" ","85 Years and Over","Male",35500
" "," ","Female",55400
" ","90 Years and Over","Male",11970
" "," ","Female",22500
" ","95 Years and Over","Male",2310
" "," ","Female",5840
" ","Median Age (Years)","Male",36.7
" "," ","Female",38.8
" ","Total All Ages","Male",2537000
" "," ","Female",2574100
2022,"0 Years","Male",30510
" "," ","Female",29680
" ","1 Years","Male",31090
" "," ","Female",29550
" ","2 Years","Male",30600
" "," ","Female",29310
" ","3 Years","Male",31310
" "," ","Female",29570
" ","4 Years","Male",31610
" "," ","Female",30000
" ","5 Years","Male",32320
" "," ","Female",30730
" ","6 Years","Male",32770
" "," ","Female",30940
" ","7 Years","Male",33120
" "," ","Female",31240
" ","8 Years","Male",33210
" "," ","Female",31330
" ","9 Years","Male",33970
" "," ","Female",32590
" ","10 Years","Male",34410
" "," ","Female",32800
" ","11 Years","Male",34820
" "," ","Female",33040
" ","12 Years","Male",35150
" "," ","Female",33270
" ","13 Years","Male",35110
" "," ","Female",32690
" ","14 Years","Male",34830
" "," ","Female",33050
" ","15 Years","Male",34010
" "," ","Female",32130
" ","16 Years","Male",32530
" "," ","Female",30960
" ","17 Years","Male",32110
" "," ","Female",30570
" ","18 Years","Male",32010
" "," ","Female",30440
" ","19 Years","Male",31880
" "," ","Female",30020
" ","20 Years","Male",32060
" "," ","Female",30620
" ","21 Years","Male",33370
" "," ","Female",31620
" ","22 Years","Male",33910
" "," ","Female",31750
" ","23 Years","Male",33210
" "," ","Female",31070
" ","24 Years","Male",34090
" "," ","Female",31810
" ","25 Years","Male",34580
" "," ","Female",32470
" ","26 Years","Male",35700
" "," ","Female",33290
" ","27 Years","Male",36280
" "," ","Female",34430
" ","28 Years","Male",36840
" "," ","Female",35400
" ","29 Years","Male",38320
" "," ","Female",37310
" ","30 Years","Male",39650
" "," ","Female",38710
" ","31 Years","Male",39820
" "," ","Female",39820
" ","32 Years","Male",39320
" "," ","Female",39470
" ","33 Years","Male",37920
" "," ","Female",38450
" ","34 Years","Male",37390
" "," ","Female",38230
" ","35 Years","Male",36230
" "," ","Female",36300
" ","36 Years","Male",34800
" "," ","Female",35430
" ","37 Years","Male",34060
" "," ","Female",35050
" ","38 Years","Male",33660
" "," ","Female",34360
" ","39 Years","Male",33380
" "," ","Female",33970
" ","40 Years","Male",32750
" "," ","Female",33260
" ","41 Years","Male",32140
" "," ","Female",32470
" ","42 Years","Male",31640
" "," ","Female",32050
" ","43 Years","Male",30780
" "," ","Female",31470
" ","44 Years","Male",29910
" "," ","Female",30860
" ","45 Years","Male",30120
" "," ","Female",30750
" ","46 Years","Male",30100
" "," ","Female",30610
" ","47 Years","Male",30620
" "," ","Female",31860
" ","48 Years","Male",31410
" "," ","Female",32860
" ","49 Years","Male",32550
" "," ","Female",33840
" ","50 Years","Male",33470
" "," ","Female",34840
" ","51 Years","Male",33270
" "," ","Female",35080
" ","52 Years","Male",32570
" "," ","Female",34010
" ","53 Years","Male",32400
" "," ","Female",33920
" ","54 Years","Male",31510
" "," ","Female",33080
" ","55 Years","Male",30830
" "," ","Female",32360
" ","56 Years","Male",30650
" "," ","Female",32010
" ","57 Years","Male",30870
" "," ","Female",32510
" ","58 Years","Male",31490
" "," ","Female",33240
" ","59 Years","Male",31770
" "," ","Female",33980
" ","60 Years","Male",31320
" "," ","Female",33370
" ","61 Years","Male",30380
" "," ","Female",32520
" ","62 Years","Male",29370
" "," ","Female",31160
" ","63 Years","Male",28560
" "," ","Female",30330
" ","64 Years","Male",27540
" "," ","Female",29440
" ","65 Years","Male",26710
" "," ","Female",28460
" ","66 Years","Male",25800
" "," ","Female",27560
" ","67 Years","Male",24850
" "," ","Female",26740
" ","68 Years","Male",24030
" "," ","Female",25560
" ","69 Years","Male",23160
" "," ","Female",24780
" ","70 Years","Male",22610
" "," ","Female",23840
" ","71 Years","Male",21850
" "," ","Female",23020
